name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Grosvenor Mountains 85205;11214;Valid;L6;999.9;Found;01.01.1985;-85.666670;175.000000;(-85.666670, 175.000000)
Lahmada 016;12429;Valid;H5;998;Found;01.01.1998;27.230000;-9.756670;(27.230000, -9.756670)
Dhofar 1590;52596;Valid;H5;996;Found;01.01.2004;18.951670;54.281170;(18.951670, 54.281170)
Dhofar 288;7071;Valid;L6;996;Found;01.01.2001;18.493330;54.133330;(18.493330, 54.133330)
Dhofar 836;7582;Valid;Ureilite;995;Found;01.01.2000;18.348670;54.214000;(18.348670, 54.214000)
Sutter's Mill;55529;Valid;C;992.5;Fell;01.01.2012;38.803890;-120.908060;(38.803890, -120.908060)
Asuka 882102;4811;Valid;L3;992.45;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Dar al Gani 501;6049;Valid;L5;992;Found;01.01.1997;27.300330;16.177670;(27.300330, 16.177670)
Acfer 104;113;Valid;H4/5;992;Found;01.01.1990;27.633330;4.366670;(27.633330, 4.366670)
Buckleboo;5160;Valid;H6;992;Found;01.01.1963;-32.955560;136.137500;(-32.955560, 136.137500)
Maldyak;15396;Valid;Iron, IIIAB;992;Found;01.01.1939;63.333330;148.166670;(63.333330, 148.166670)
Umm as Samim 003;24117;Valid;H3.7;991;Found;01.01.2001;21.320000;56.416670;(21.320000, 56.416670)
Dar al Gani 037;5553;Valid;LL6;990;Found;01.01.1995;27.107670;16.323830;(27.107670, 16.323830)
Queen Alexandra Range 97872;21326;Valid;LL5;99.9;Found;01.01.1997;-84.000000;168.000000;(-84.000000, 168.000000)
Elephant Moraine 96317;9908;Valid;L6;99.9;Found;01.01.1996;-76.183330;157.166670;(-76.183330, 157.166670)
Elephant Moraine 90356;8765;Valid;L6;99.9;Found;01.01.1990;-76.265720;156.408540;(-76.265720, 156.408540)
Asuka 881697;4406;Valid;H4;99.82;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 791587;26936;Valid;L4;99.82;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
Dhofar 814;7560;Valid;H5;99.81;Found;01.01.2001;18.962200;54.590120;(18.962200, 54.590120)
Allan Hills 85130;995;Valid;H6;99.7;Found;01.01.1985;-76.821380;156.036420;(-76.821380, 156.036420)
Sayh al Uhaymir 532;55469;Valid;L6;99.67;Found;01.01.2010;20.134520;56.589770;(20.134520, 56.589770)
Grove Mountains 021797;46807;Valid;L6;99.66;Found;01.01.2003;-72.773890;75.324440;(-72.773890, 75.324440)
Asuka 881045;3754;Valid;L6;99.6;Found;01.01.1988;-72.000000;26.000000;(-72.000000, 26.000000)
Yamato 791186;26535;Valid;Eucrite-mmict;99.58;Found;01.01.1979;-71.500000;35.666670;(-71.500000, 35.666670)
